expiry,type,strike,IV(%),mid,fair_value,r_used
2025-08-18,C,655.0,8.59,0.015,0.0035,0.04112
2025-08-18,C,656.0,9.28,0.015,0.0035,0.04112
2025-08-18,C,657.0,9.96,0.015,0.0036,0.04112
2025-08-18,C,658.0,10.55,0.015,0.0034,0.04112
2025-08-18,C,659.0,10.35,0.01,0.0014,0.04112
2025-08-18,C,660.0,10.94,0.01,0.0013,0.04112
2025-08-18,C,665.0,13.67,0.01,0.0011,0.04112
2025-08-18,C,670.0,16.41,0.01,0.0009,0.04112
2025-08-18,C,675.0,19.14,0.01,0.0009,0.04112
2025-08-18,C,680.0,21.88,0.01,0.0009,0.04112
2025-08-18,C,685.0,24.22,0.01,0.0007,0.04112
2025-08-18,C,700.0,32.03,0.02,0.0008,0.04112
2025-08-18,P,400.0,150.0,0.01,392.4207,0.04112
2025-08-18,P,405.0,150.0,0.01,397.4207,0.04112
2025-08-18,P,410.0,143.75,0.01,400.8799,0.04112
2025-08-18,P,420.0,137.5,0.03,409.0259,0.04112
2025-08-18,P,425.0,134.38,0.01,412.962,0.04112
2025-08-18,P,430.0,131.25,0.01,416.795,0.04112
2025-08-18,P,435.0,125.0,0.01,419.1106,0.04112
2025-08-18,P,440.0,121.88,0.01,422.5702,0.04112
2025-08-18,P,445.0,118.75,0.02,425.8805,0.04112
2025-08-18,P,450.0,115.63,0.02,429.027,0.04112
2025-08-18,P,455.0,112.5,0.01,431.9937,0.04112
2025-08-18,P,460.0,109.38,0.02,434.7634,0.04112
2025-08-18,P,470.0,103.13,0.03,439.6331,0.04112
2025-08-18,P,475.0,98.44,0.02,440.1114,0.04112
2025-08-18,P,480.0,96.88,0.01,443.4594,0.04112
2025-08-18,P,485.0,93.75,0.02,444.917,0.04112
2025-08-18,P,495.0,87.5,0.01,446.7687,0.04112
2025-08-18,P,500.0,84.38,0.02,447.0929,0.04112
2025-08-18,P,505.0,81.25,0.02,446.9639,0.04112
2025-08-18,P,510.0,78.13,0.01,446.3376,0.04112
2025-08-18,P,515.0,75.0,0.01,445.1659,0.04112
2025-08-18,P,525.0,68.75,0.01,440.9696,0.04112
2025-08-18,P,530.0,65.63,0.01,437.8234,0.04112
2025-08-18,P,535.0,62.5,0.01,433.8874,0.04112
2025-08-18,P,540.0,59.38,0.01,429.0851,0.04112
2025-08-18,P,545.0,56.25,0.01,423.3326,0.04112
2025-08-18,P,550.0,53.13,0.01,416.5377,0.04112
2025-08-18,P,555.0,51.56,0.01,415.2181,0.04112
2025-08-18,P,560.0,50.78,0.01,416.947,0.04112
2025-08-18,P,565.0,47.66,0.02,408.0788,0.04112
2025-08-18,P,570.0,47.66,0.015,413.0788,0.04112
2025-08-18,P,575.0,44.53,0.015,402.8662,0.04112
2025-08-18,P,580.0,41.41,0.015,391.1789,0.04112
2025-08-18,P,585.0,38.28,0.015,377.8738,0.04112
2025-08-18,P,590.0,35.16,0.015,362.7941,0.04112
2025-08-18,P,595.0,32.03,0.015,345.7678,0.04112
2025-08-18,P,600.0,30.27,0.025,337.4525,0.04112
2025-08-18,P,605.0,27.15,0.025,317.0001,0.04112
2025-08-18,P,608.0,25.2,0.025,302.854,0.04112
2025-08-18,P,609.0,25.39,0.03,305.6136,0.04112
2025-08-18,P,610.0,24.71,0.035,300.4103,0.04112
2025-08-18,P,611.0,24.02,0.035,295.0802,0.04112
2025-08-18,P,612.0,23.34,0.035,289.6206,0.04112
2025-08-18,P,613.0,22.66,0.035,284.029,0.04112
2025-08-18,P,614.0,22.07,0.035,279.2719,0.04112
2025-08-18,P,615.0,21.29,0.035,272.4387,0.04112
2025-08-18,P,616.0,20.7,0.035,267.4437,0.04112
2025-08-18,P,617.0,20.02,0.035,261.3169,0.04112
2025-08-18,P,618.0,19.92,0.045,261.2869,0.04112
2025-08-18,P,619.0,19.24,0.045,254.9933,0.04112
2025-08-18,P,620.0,18.46,0.045,247.4749,0.04112
2025-08-18,P,621.0,17.77,0.045,240.858,0.04112
2025-08-18,P,622.0,17.09,0.045,234.0853,0.04112
2025-08-18,P,623.0,16.8,0.055,231.7057,0.04112
2025-08-18,P,624.0,16.11,0.055,224.705,0.04112
2025-08-18,P,625.0,15.77,0.065,221.6435,0.04112
2025-08-18,P,626.0,15.04,0.065,213.8007,0.04112
2025-08-18,P,627.0,14.26,0.065,205.1545,0.04112
2025-08-18,P,628.0,13.82,0.075,200.6297,0.04112
2025-08-18,P,629.0,13.33,0.085,195.4061,0.04112
2025-08-18,P,630.0,12.79,0.095,189.4554,0.04112
2025-08-18,P,631.0,12.4,0.11,185.3304,0.04112
2025-08-18,P,632.0,11.77,0.125,177.875,0.04112
2025-08-18,P,633.0,11.4,0.15,173.924,0.04112
2025-08-18,P,634.0,10.82,0.175,166.89,0.04112
2025-08-18,P,635.0,10.5,0.22,163.4797,0.04112
2025-08-18,P,636.0,10.16,0.28,159.6836,0.04112
2025-08-18,P,637.0,9.58,0.335,152.523,0.04112
2025-08-18,P,638.0,9.28,0.43,149.1254,0.04112
2025-08-18,P,639.0,8.84,0.54,143.7227,0.04112
2025-08-18,P,640.0,8.49,0.695,139.5945,0.04112
2025-08-18,P,641.0,8.06,0.895,134.1324,0.04112
2025-08-18,P,642.0,7.74,1.165,130.3467,0.04112
2025-08-18,P,643.0,7.62,1.54,129.494,0.04112
2025-08-18,P,644.0,7.54,2.0,129.3792,0.04112
2025-08-18,P,645.0,7.47,2.57,129.262,0.04112
2025-08-18,P,646.0,7.91,3.32,136.9292,0.04112
2025-08-18,P,647.0,8.22,4.11,142.5084,0.04112
2025-08-18,P,648.0,8.59,4.97,149.1295,0.04112
2025-08-18,P,649.0,9.11,5.875,157.6454,0.04112
2025-08-18,P,650.0,14.88,7.25,235.8593,0.04112
2025-08-18,P,651.0,15.24,8.05,241.1775,0.04112
2025-08-18,P,652.0,16.42,9.05,256.2968,0.04112
2025-08-18,P,675.0,46.86,31.88,514.3485,0.04112
2025-08-19,C,425.0,207.47,218.26,219.0485,0.04112
2025-08-19,C,455.0,177.93,188.27,189.082,0.04112
2025-08-19,C,560.0,83.76,83.31,84.2257,0.04112
2025-08-19,C,580.0,66.72,63.33,64.2748,0.04112
2025-08-19,C,595.0,53.83,48.345,49.3221,0.04112
2025-08-19,C,600.0,49.4,43.35,44.3396,0.04112
2025-08-19,C,605.0,45.02,38.36,39.359,0.04112
2025-08-19,C,608.0,42.41,35.365,36.3786,0.04112
2025-08-19,C,610.0,40.59,33.37,34.387,0.04112
2025-08-19,C,611.0,39.67,32.37,33.3905,0.04112
2025-08-19,C,615.0,34.79,28.335,29.3077,0.04112
2025-08-19,C,619.0,32.46,24.4,25.4454,0.04112
2025-08-19,C,620.0,30.18,23.34,24.3284,0.04112
2025-08-19,C,621.0,29.54,22.355,23.36,0.04112
2025-08-19,C,622.0,29.52,21.415,22.4563,0.04112
2025-08-19,C,623.0,28.61,21.035,21.4692,0.04112
2025-08-19,C,624.0,26.62,19.69,20.3698,0.04112
2025-08-19,C,625.0,25.51,18.655,19.3608,0.04112
2025-08-19,C,626.0,14.41,17.465,17.7004,0.04112
2025-08-19,C,627.0,13.92,16.475,16.7068,0.04112
2025-08-19,C,628.0,13.53,15.475,15.7167,0.04112
2025-08-19,C,629.0,13.14,14.515,14.7286,0.04112
2025-08-19,C,630.0,12.79,13.535,13.7457,0.04112
2025-08-19,C,631.0,12.38,12.55,12.7633,0.04112
2025-08-19,C,632.0,12.04,11.59,11.7888,0.04112
2025-08-19,C,633.0,11.7,10.675,10.8209,0.04112
2025-08-19,C,634.0,11.28,9.695,9.8555,0.04112
2025-08-19,C,635.0,10.91,8.765,8.9031,0.04112
2025-08-19,C,636.0,10.47,7.84,7.9556,0.04112
2025-08-19,C,637.0,10.22,6.975,7.045,0.04112
2025-08-19,C,638.0,9.94,6.11,6.1557,0.04112
2025-08-19,C,639.0,9.61,5.27,5.2874,0.04112
2025-08-19,C,640.0,9.21,4.48,4.4446,0.04112
2025-08-19,C,641.0,8.6,3.705,3.6003,0.04112
2025-08-19,C,642.0,8.64,3.05,2.9438,0.04112
2025-08-19,C,643.0,8.16,2.395,2.2445,0.04112
2025-08-19,C,644.0,7.92,1.84,1.6772,0.04112
2025-08-19,C,645.0,7.72,1.37,1.208,0.04112
2025-08-19,C,646.0,7.45,0.975,0.8106,0.04112
2025-08-19,C,647.0,7.31,0.67,0.5307,0.04112
2025-08-19,C,648.0,7.17,0.44,0.3265,0.04112
2025-08-19,C,649.0,7.07,0.285,0.1928,0.04112
2025-08-19,C,650.0,7.09,0.185,0.115,0.04112
2025-08-19,C,651.0,7.11,0.11,0.0653,0.04112
2025-08-19,C,652.0,7.06,0.065,0.0339,0.04112
2025-08-19,C,653.0,7.28,0.045,0.0217,0.04112
2025-08-19,C,654.0,7.33,0.025,0.0116,0.04112
2025-08-19,C,655.0,7.91,0.025,0.0113,0.04112
2025-08-19,C,656.0,8.01,0.015,0.0065,0.04112
2025-08-19,C,657.0,8.59,0.015,0.0066,0.04112
2025-08-19,C,658.0,9.08,0.015,0.006,0.04112
2025-08-19,C,659.0,9.67,0.015,0.0062,0.04112
2025-08-19,C,660.0,9.38,0.01,0.0025,0.04112
2025-08-19,C,665.0,11.91,0.01,0.0025,0.04112
2025-08-19,C,670.0,14.26,0.01,0.0022,0.04112
2025-08-19,C,675.0,16.6,0.01,0.0021,0.04112
2025-08-19,C,680.0,18.75,0.02,0.0018,0.04112
2025-08-19,C,685.0,21.09,0.01,0.0019,0.04112
2025-08-19,C,690.0,23.44,0.01,0.0019,0.04112
2025-08-19,C,705.0,29.69,0.01,0.0016,0.04112
2025-08-19,P,405.0,128.13,0.01,398.825,0.04112
2025-08-19,P,420.0,118.75,0.02,411.3247,0.04112
2025-08-19,P,425.0,115.63,0.03,415.2837,0.04112
2025-08-19,P,430.0,112.5,0.03,419.1178,0.04112
2025-08-19,P,445.0,103.13,0.03,429.7115,0.04112
2025-08-19,P,450.0,100.0,0.04,432.877,0.04112
2025-08-19,P,455.0,96.88,0.02,435.822,0.04112
2025-08-19,P,460.0,93.75,0.02,438.5207,0.04112
2025-08-19,P,465.0,90.63,0.02,440.9433,0.04112
2025-08-19,P,470.0,89.06,0.01,444.5409,0.04112
2025-08-19,P,480.0,84.38,0.01,449.8236,0.04112
2025-08-19,P,495.0,75.0,0.06,452.6051,0.04112
2025-08-19,P,505.0,68.75,0.03,451.8203,0.04112
2025-08-19,P,515.0,64.06,0.01,451.9668,0.04112
2025-08-19,P,520.0,62.5,0.02,453.2921,0.04112
2025-08-19,P,525.0,59.38,0.02,450.2876,0.04112
2025-08-19,P,530.0,56.25,0.01,446.3225,0.04112
2025-08-19,P,535.0,54.69,0.01,446.4443,0.04112
2025-08-19,P,540.0,54.69,0.01,451.4443,0.04112
2025-08-19,P,545.0,53.91,0.015,453.8996,0.04112
2025-08-19,P,550.0,50.78,0.015,447.968,0.04112
2025-08-19,P,555.0,49.61,0.015,448.5386,0.04112
2025-08-19,P,560.0,46.88,0.015,442.441,0.04112
2025-08-19,P,565.0,44.14,0.015,435.1865,0.04112
2025-08-19,P,570.0,42.97,0.025,434.5511,0.04112
2025-08-19,P,575.0,40.23,0.025,425.4317,0.04112
2025-08-19,P,580.0,37.5,0.025,414.8406,0.04112
2025-08-19,P,585.0,34.57,0.025,401.328,0.04112
2025-08-19,P,590.0,32.81,0.035,394.2387,0.04112
2025-08-19,P,595.0,30.86,0.045,384.8707,0.04112
2025-08-19,P,600.0,27.93,0.045,366.3173,0.04112
2025-08-19,P,605.0,25.49,0.055,349.685,0.04112
2025-08-19,P,608.0,23.73,0.055,335.8802,0.04112
2025-08-19,P,609.0,23.15,0.055,331.0363,0.04112
2025-08-19,P,610.0,22.95,0.065,330.0606,0.04112
2025-08-19,P,611.0,22.36,0.065,325.0487,0.04112
2025-08-19,P,612.0,21.78,0.065,319.9078,0.04112
2025-08-19,P,613.0,21.14,0.065,314.1062,0.04112
2025-08-19,P,614.0,20.9,0.07,312.4482,0.04112
2025-08-19,P,615.0,20.31,0.075,306.9722,0.04112
2025-08-19,P,616.0,19.68,0.075,300.7995,0.04112
2025-08-19,P,617.0,19.39,0.085,298.433,0.04112
2025-08-19,P,618.0,18.75,0.085,292.0149,0.04112
2025-08-19,P,619.0,18.41,0.09,288.9492,0.04112
2025-08-19,P,620.0,17.73,0.095,281.6652,0.04112
2025-08-19,P,621.0,17.33,0.1,277.8384,0.04112
2025-08-19,P,622.0,16.7,0.105,270.8476,0.04112
2025-08-19,P,623.0,16.26,0.115,266.2068,0.04112
2025-08-19,P,624.0,15.8,0.125,261.1543,0.04112
2025-08-19,P,625.0,15.31,0.13,255.6722,0.04112
2025-08-19,P,626.0,14.8,0.14,249.7414,0.04112
2025-08-19,P,627.0,14.26,0.155,243.341,0.04112
2025-08-19,P,628.0,13.87,0.17,238.8676,0.04112
2025-08-19,P,629.0,13.43,0.19,233.6167,0.04112
2025-08-19,P,630.0,12.94,0.215,227.5534,0.04112
2025-08-19,P,631.0,12.62,0.25,223.8947,0.04112
2025-08-19,P,632.0,12.13,0.28,217.6219,0.04112
2025-08-19,P,633.0,11.79,0.33,213.4539,0.04112
2025-08-19,P,634.0,11.44,0.385,209.0333,0.04112
2025-08-19,P,635.0,11.07,0.455,204.352,0.04112
2025-08-19,P,636.0,10.73,0.545,199.981,0.04112
2025-08-19,P,637.0,10.34,0.65,194.7607,0.04112
2025-08-19,P,638.0,10.0,0.785,190.2451,0.04112
2025-08-19,P,639.0,9.71,0.945,186.4628,0.04112
2025-08-19,P,640.0,9.42,1.15,182.8318,0.04112
2025-08-19,P,641.0,9.25,1.42,180.9897,0.04112
2025-08-19,P,642.0,8.8,1.7,174.2898,0.04112
2025-08-19,P,645.0,8.53,3.1,172.8171,0.04112
2025-08-19,P,648.0,8.66,5.16,178.0068,0.04112
2025-08-19,P,649.0,8.91,6.01,183.2525,0.04112
2025-08-19,P,650.0,9.28,6.91,190.3968,0.04112
2025-08-19,P,651.0,13.51,8.11,256.7527,0.04112
2025-08-19,P,658.0,22.77,15.01,376.2579,0.04112
2025-08-20,C,585.0,56.78,58.425,59.5274,0.04112
2025-08-20,C,590.0,52.83,53.43,54.5435,0.04112
2025-08-20,C,605.0,41.14,38.465,39.6121,0.04112
2025-08-20,C,608.0,38.7,35.47,36.6195,0.04112
2025-08-20,C,609.0,37.94,34.475,35.6316,0.04112
2025-08-20,C,610.0,37.11,33.48,34.636,0.04112
2025-08-20,C,615.0,31.47,28.4,29.5007,0.04112
2025-08-20,C,616.0,32.3,27.505,28.6802,0.04112
2025-08-20,C,617.0,30.18,26.455,27.5451,0.04112
2025-08-20,C,618.0,30.65,25.52,26.6983,0.04112
2025-08-20,C,619.0,28.7,24.495,25.5733,0.04112
2025-08-20,C,620.0,28.99,23.53,24.714,0.04112
2025-08-20,C,621.0,28.06,22.545,23.71,0.04112
2025-08-20,C,622.0,25.97,21.49,22.5669,0.04112
2025-08-20,C,623.0,23.15,20.42,21.3468,0.04112
2025-08-20,C,624.0,25.59,20.01,20.7505,0.04112
2025-08-20,C,625.0,23.19,18.705,19.5547,0.04112
2025-08-20,C,626.0,22.55,17.77,18.5923,0.04112
2025-08-20,C,627.0,21.49,16.72,17.5748,0.04112
2025-08-20,C,628.0,14.5,15.67,15.9309,0.04112
2025-08-20,C,629.0,14.12,14.73,14.9604,0.04112
2025-08-20,C,630.0,13.7,13.745,13.9891,0.04112
2025-08-20,C,631.0,13.31,12.8,13.025,0.04112
2025-08-20,C,632.0,12.87,11.85,12.0646,0.04112
2025-08-20,C,633.0,12.51,10.92,11.12,0.04112
2025-08-20,C,634.0,12.13,10.005,10.1821,0.04112
2025-08-20,C,635.0,11.81,9.105,9.2632,0.04112
2025-08-20,C,636.0,11.38,8.235,8.3453,0.04112
2025-08-20,C,637.0,11.12,7.375,7.4714,0.04112
2025-08-20,C,638.0,10.82,6.54,6.6176,0.04112
2025-08-20,C,639.0,10.46,5.735,5.778,0.04112
2025-08-20,C,640.0,10.24,5.005,4.9991,0.04112
2025-08-20,C,641.0,9.88,4.27,4.2345,0.04112
2025-08-20,C,642.0,9.33,3.55,3.4646,0.04112
2025-08-20,C,643.0,9.14,2.94,2.8372,0.04112
2025-08-20,C,644.0,8.88,2.37,2.2539,0.04112
2025-08-20,C,645.0,8.56,1.855,1.7237,0.04112
2025-08-20,C,646.0,8.32,1.415,1.2868,0.04112
2025-08-20,C,647.0,8.13,1.055,0.9342,0.04112
2025-08-20,C,648.0,7.87,0.75,0.6381,0.04112
2025-08-20,C,649.0,7.7,0.52,0.4253,0.04112
2025-08-20,C,650.0,7.57,0.35,0.2738,0.04112
2025-08-20,C,651.0,7.48,0.23,0.1721,0.04112
2025-08-20,C,652.0,7.35,0.145,0.1003,0.04112
2025-08-20,C,653.0,7.37,0.095,0.0622,0.04112
2025-08-20,C,654.0,7.28,0.055,0.0338,0.04112
2025-08-20,C,655.0,7.37,0.035,0.0211,0.04112
2025-08-20,C,656.0,7.62,0.025,0.0154,0.04112
2025-08-20,C,657.0,7.72,0.015,0.0096,0.04112
2025-08-20,C,658.0,8.2,0.015,0.0093,0.04112
2025-08-20,C,659.0,8.59,0.015,0.0083,0.04112
2025-08-20,C,660.0,9.08,0.015,0.0083,0.04112
2025-08-20,C,665.0,10.55,0.01,0.0033,0.04112
2025-08-20,C,670.0,12.7,0.01,0.0032,0.04112
2025-08-20,C,685.0,18.75,0.01,0.0027,0.04112
2025-08-20,C,690.0,20.7,0.01,0.0026,0.04112
2025-08-20,C,695.0,22.66,0.01,0.0026,0.04112
2025-08-20,P,405.0,115.63,0.01,399.9209,0.04112
2025-08-20,P,420.0,106.25,0.02,412.4789,0.04112
2025-08-20,P,435.0,96.88,0.02,423.8628,0.04112
2025-08-20,P,440.0,95.31,0.01,428.1097,0.04112
2025-08-20,P,450.0,90.63,0.01,435.5311,0.04112
2025-08-20,P,455.0,87.5,0.01,438.5083,0.04112
2025-08-20,P,495.0,67.19,0.02,456.3939,0.04112
2025-08-20,P,505.0,65.63,0.01,463.7835,0.04112
2025-08-20,P,510.0,63.28,0.02,464.5333,0.04112
2025-08-20,P,515.0,63.28,0.015,469.5333,0.04112
2025-08-20,P,520.0,60.16,0.015,468.177,0.04112
2025-08-20,P,525.0,57.81,0.015,467.8331,0.04112
2025-08-20,P,530.0,55.47,0.015,466.9381,0.04112
2025-08-20,P,535.0,53.13,0.015,465.4353,0.04112
2025-08-20,P,540.0,50.39,0.015,461.9964,0.04112
2025-08-20,P,545.0,49.22,0.015,463.0732,0.04112
2025-08-20,P,550.0,48.83,0.025,466.7221,0.04112
2025-08-20,P,555.0,46.09,0.025,461.6197,0.04112
2025-08-20,P,560.0,43.56,0.025,456.1446,0.04112
2025-08-20,P,565.0,42.19,0.035,455.0255,0.04112
2025-08-20,P,570.0,39.65,0.035,447.6888,0.04112
2025-08-20,P,575.0,37.11,0.035,438.9683,0.04112
2025-08-20,P,580.0,35.35,0.045,433.5779,0.04112
2025-08-20,P,585.0,32.81,0.045,422.1527,0.04112
2025-08-20,P,590.0,30.86,0.055,413.2746,0.04112
2025-08-20,P,595.0,28.71,0.065,401.6389,0.04112
2025-08-20,P,600.0,25.98,0.065,383.1822,0.04112
2025-08-20,P,605.0,24.12,0.085,370.6648,0.04112
2025-08-20,P,608.0,22.41,0.085,356.281,0.04112
2025-08-20,P,609.0,22.17,0.095,354.6944,0.04112
2025-08-20,P,610.0,21.63,0.095,349.9101,0.04112
2025-08-20,P,611.0,21.05,0.095,344.4498,0.04112
2025-08-20,P,612.0,20.8,0.105,342.7109,0.04112
2025-08-20,P,613.0,20.22,0.105,337.0221,0.04112
2025-08-20,P,614.0,19.87,0.11,334.0439,0.04112
2025-08-20,P,615.0,19.29,0.115,328.0901,0.04112
2025-08-20,P,616.0,18.95,0.12,324.9543,0.04112
2025-08-20,P,617.0,18.56,0.13,321.1545,0.04112
2025-08-20,P,618.0,17.97,0.135,314.8061,0.04112
2025-08-20,P,619.0,17.58,0.14,310.806,0.04112
2025-08-20,P,620.0,17.14,0.15,306.0823,0.04112
2025-08-20,P,621.0,16.7,0.16,301.2523,0.04112
2025-08-20,P,622.0,16.26,0.17,296.314,0.04112
2025-08-20,P,623.0,15.77,0.18,290.5865,0.04112
2025-08-20,P,624.0,15.43,0.2,286.7947,0.04112
2025-08-20,P,625.0,14.92,0.21,280.4772,0.04112
2025-08-20,P,626.0,14.5,0.23,275.4373,0.04112
2025-08-20,P,627.0,14.19,0.26,271.7473,0.04112
2025-08-20,P,628.0,13.72,0.28,265.7795,0.04112
2025-08-20,P,629.0,13.4,0.32,261.9335,0.04112
2025-08-20,P,630.0,13.04,0.36,257.2613,0.04112
2025-08-20,P,631.0,12.71,0.41,253.0815,0.04112
2025-08-20,P,632.0,12.39,0.47,249.0254,0.04112
2025-08-20,P,633.0,12.06,0.54,244.7033,0.04112
2025-08-20,P,634.0,11.73,0.62,240.3073,0.04112
2025-08-20,P,635.0,11.43,0.715,236.2441,0.04112
2025-08-20,P,636.0,11.14,0.835,232.4253,0.04112
2025-08-20,P,637.0,10.85,0.97,228.4439,0.04112
2025-08-20,P,638.0,10.54,1.135,224.0838,0.04112
2025-08-20,P,639.0,10.27,1.335,220.4029,0.04112
2025-08-20,P,640.0,10.02,1.565,216.9935,0.04112
2025-08-20,P,641.0,9.8,1.85,214.1927,0.04112
2025-08-20,P,642.0,9.57,2.175,211.0274,0.04112
2025-08-20,P,643.0,9.24,2.535,206.0383,0.04112
2025-08-20,P,644.0,9.39,2.985,209.7103,0.04112
2025-08-20,P,645.0,9.18,3.53,206.9201,0.04112
2025-08-20,P,646.0,9.0,4.1,204.6611,0.04112
2025-08-20,P,647.0,8.87,4.69,203.1726,0.04112
2025-08-20,P,650.0,9.01,7.025,208.7739,0.04112
2025-08-20,P,652.0,12.72,9.05,274.2746,0.04112
2025-08-20,P,655.0,17.64,12.0,347.5927,0.04112
2025-08-21,C,600.0,41.85,43.55,44.8012,0.04112
2025-08-21,C,605.0,38.26,38.565,39.831,0.04112
2025-08-21,C,610.0,34.53,33.58,34.8535,0.04112
2025-08-21,C,615.0,30.86,28.61,29.8959,0.04112
2025-08-21,C,620.0,27.19,23.66,24.9547,0.04112
2025-08-21,C,623.0,23.47,20.87,21.7757,0.04112
2025-08-21,C,624.0,22.51,19.795,20.7561,0.04112
2025-08-21,C,625.0,16.16,18.765,19.0933,0.04112
2025-08-21,C,627.0,15.33,16.835,17.1479,0.04112
2025-08-21,C,628.0,14.92,15.875,16.1791,0.04112
2025-08-21,C,629.0,14.45,14.915,15.2113,0.04112
2025-08-21,C,630.0,14.1,13.97,14.2595,0.04112
2025-08-21,C,631.0,13.75,13.04,13.3148,0.04112
2025-08-21,C,632.0,13.29,12.11,12.3656,0.04112
2025-08-21,C,633.0,13.06,11.21,11.4562,0.04112
2025-08-21,C,634.0,12.75,10.33,10.5475,0.04112
2025-08-21,C,635.0,12.41,9.46,9.6498,0.04112
2025-08-21,C,636.0,12.01,8.585,8.756,0.04112
2025-08-21,C,637.0,11.69,7.755,7.8968,0.04112
2025-08-21,C,638.0,11.37,6.945,7.0585,0.04112
2025-08-21,C,639.0,11.02,6.185,6.2399,0.04112
2025-08-21,C,640.0,10.71,5.43,5.4601,0.04112
2025-08-21,C,641.0,10.48,4.73,4.7384,0.04112
2025-08-21,C,642.0,10.04,4.03,3.9962,0.04112
2025-08-21,C,643.0,9.8,3.41,3.3635,0.04112
2025-08-21,C,644.0,9.48,2.825,2.7515,0.04112
2025-08-21,C,645.0,9.21,2.3,2.2134,0.04112
2025-08-21,C,646.0,8.96,1.835,1.7402,0.04112
2025-08-21,C,647.0,8.75,1.435,1.3404,0.04112
2025-08-21,C,648.0,8.55,1.095,1.0027,0.04112
2025-08-21,C,649.0,8.33,0.81,0.7237,0.04112
2025-08-21,C,650.0,8.12,0.58,0.5053,0.04112
2025-08-21,C,651.0,7.98,0.41,0.3468,0.04112
2025-08-21,C,652.0,7.86,0.28,0.2309,0.04112
2025-08-21,C,653.0,7.79,0.19,0.1518,0.04112
2025-08-21,C,654.0,7.54,0.115,0.086,0.04112
2025-08-21,C,655.0,7.69,0.08,0.0618,0.04112
2025-08-21,C,656.0,7.67,0.05,0.0385,0.04112
2025-08-21,C,657.0,7.72,0.035,0.0248,0.04112
2025-08-21,C,658.0,7.86,0.025,0.0177,0.04112
2025-08-21,C,659.0,7.91,0.015,0.0112,0.04112
2025-08-21,C,660.0,8.3,0.015,0.0105,0.04112
2025-08-21,C,665.0,9.77,0.01,0.005,0.04112
